id,number,name,surname,patronymic,date_of_birth,nationality,authority,date_of_issue,date_of_expiry,tin,place_of_birth
54,004237862,Kyrylo,Bondarenko,Ivanovych,2007-02-14,ukrainian,1557,2022-12-16,2027-09-23,3295932907,Kovel
55,004921901,Yulia,Kravchenko,Volodymyrivna,2005-01-23,ukrainian,28,2023-01-30,2027-02-12,3684762634,Kharkiv
56,005277416,Ludmyla,Kovalchuk,Bohdanivna,1999-09-25,ukrainian,1468,2023-04-01,2025-12-08,4857076104,Stryi
57,006572118,Fedir,Shevchenko,Andriyovych,1999-03-07,ukrainian,26,2023-12-09,2026-10-19,3743393168,Konotop
58,006932099,Yaroslav,Shevchenko,Mykhailovych,2001-11-14,ukrainian,199,2021-09-28,2025-05-06,4276897266,Brovary
59,003914099,Kyrylo,Ivanchuk,Volodymyrovych,2003-02-24,ukrainian,123,2021-06-12,2025-09-04,3747484837,Alchevsk
60,006753128,Tetiana,Yakovenko,Oleksandrivna,2003-08-24,ukrainian,1962,2021-07-21,2025-01-14,3771924658,Kherson
61,003584535,Yurii,Kozak,Bohdanovych,2000-10-20,ukrainian,367,2022-10-10,2027-10-24,3102903005,Lutsk
62,004234932,Ivan,Kovalchuk,Anatoliyovych,1998-10-14,ukrainian,1024,2021-10-30,2026-09-01,4273716227,Khmelnytskyi
63,003194311,Liudmyla,Romanenko,Yaroslavivna,2003-01-29,ukrainian,1045,2023-12-07,2027-12-14,3145347921,Brovary
64,006996221,Bohdan,Mazur,Petrovych,2005-11-05,ukrainian,1791,2023-03-09,2025-12-10,3479997480,Lviv
65,006523642,Yurii,Andriychuk,Dmytrovych,2006-12-30,ukrainian,1231,2023-10-17,2025-06-27,3498057549,Kamianets-Podilskyi
66,004176397,Nina,Bozhko,Denysivna,1998-03-04,ukrainian,377,2023-07-17,2026-06-29,3109735456,Uzhhorod
67,006683432,Viktor,Ivanchuk,Pavlovych,2003-04-11,ukrainian,202,2021-06-16,2027-06-13,4879988338,Yalta
68,004013462,Ruslan,Tkachuk,Yaroslavovych,2001-11-27,ukrainian,930,2023-07-31,2025-01-02,4668848005,Vinnytsia
69,003101598,Taras,Marchenko,Oleksiyovych,2002-04-04,ukrainian,1623,2021-12-25,2025-01-22,3320096341,Nizhyn
70,005654191,Yelyzaveta,Melnichenko,Ostapivna,1999-08-23,ukrainian,134,2021-11-29,2027-11-08,3277554194,Melitopol
71,004649493,Olena,Lysenko,Bohdanivna,1998-02-12,ukrainian,540,2022-05-10,2025-06-06,4973125414,Nizhyn
72,005378645,Mariia,Sydorenko,Serhiyivna,2007-08-14,ukrainian,1799,2022-10-11,2027-06-06,4249534054,Donetsk
73,004528915,Roman,Babenko,Ostapovych,2007-03-01,ukrainian,1832,2023-07-15,2025-01-14,4984288033,Kuznetsovsk
74,003787105,Ihor,Moroz,Serhiyovych,2001-04-28,ukrainian,437,2022-11-24,2026-11-17,4000861443,Chernihiv
75,006304585,Liudmyla,Kravchenko,Denysivna,2000-06-12,ukrainian,1186,2022-04-18,2025-02-20,4845757255,Kuznetsovsk
76,005756883,Natalia,Tkachenko,Artemivna,2002-05-22,ukrainian,1539,2023-01-30,2027-09-12,4300741422,Kuznetsovsk
77,003615775,Yarina,Polishchuk,Ostapivna,2000-12-18,ukrainian,1292,2023-10-29,2027-06-06,4712749033,Poltava
78,004982291,Ivan,Vlasenko,Pavlovych,2000-06-06,ukrainian,1211,2023-01-11,2027-11-10,3920669698,Vinnytsia
79,006588550,Natalia,Romanenko,Artemivna,2002-04-14,ukrainian,1724,2022-07-16,2026-05-25,4268024396,Poltava
80,005631681,Ostap,Vlasenko,Andriyovych,2006-12-06,ukrainian,1618,2023-10-28,2026-10-31,4224954935,Evpatoria
81,005038203,Zinovii,Ovcharenko,Bohdanovych,2005-02-28,ukrainian,1164,2021-03-31,2027-07-07,3083913304,Kamenskoe
82,006749869,Halyna,Bondarenko,Dmytrivna,2002-01-09,ukrainian,1275,2022-11-11,2027-06-01,4371391639,Khmelnytskyi
83,006057101,Oleh,Kucherenko,Anatoliyovych,1998-06-16,ukrainian,1537,2021-04-28,2026-06-23,3522828360,Zhytomyr
84,004136525,Ihor,Shevchenko,Vitaliyovych,2005-09-13,ukrainian,1549,2023-02-10,2026-11-10,4001747852,Simferopol
85,006340387,Vitalii,Holub,Ostapovych,1998-09-09,ukrainian,1361,2023-12-13,2027-04-19,4878652109,Lisichansk
86,003362948,Kyrylo,Sydorenko,Olehovych,2004-05-06,ukrainian,89,2021-06-04,2026-06-13,4454899929,Yalta
87,005715280,Maksym,Moroz,Yaroslavovych,1999-10-11,ukrainian,340,2022-11-30,2025-05-14,3770311624,Lutsk
88,006081660,Halyna,Rudenko,Ivanivna,2005-08-18,ukrainian,1216,2021-04-10,2026-05-11,4780454906,Lviv
89,006555770,Anna,Bozhko,Dmytrivna,2002-07-18,ukrainian,400,2023-07-02,2026-02-09,3245500902,Mariupol
90,003410686,Oksana,Yermak,Pavlivna,1998-11-26,ukrainian,1564,2022-08-02,2026-06-05,4760775498,Khust
91,004936819,Liudmyla,Tkachuk,Dmytrivna,2007-09-22,ukrainian,1172,2021-12-24,2027-02-15,3338662543,Lisichansk
92,005257917,Tetiana,Yermolenko,Denysivna,2001-02-18,ukrainian,100,2022-02-23,2026-06-06,3443000689,Evpatoria
93,004547441,Serhii,Tkachuk,Yuriyovych,2003-02-28,ukrainian,1528,2022-09-14,2027-01-01,4763084125,Brovary
94,003835678,Andriana,Kovalchuk,Dmytrivna,2006-04-28,ukrainian,567,2022-07-31,2027-01-09,3225923274,Rivne
95,005802323,Kyrylo,Romanenko,Denysovych,2005-12-10,ukrainian,1379,2023-10-26,2026-07-28,3752422948,Mariupol
96,006847718,Maksym,Marchenko,Serhiyovych,2005-06-23,ukrainian,1852,2022-07-10,2026-08-04,4233558061,Stryi
97,004388772,Solomiia,Lysenko,Serhiyivna,2006-07-17,ukrainian,1836,2022-04-05,2026-11-29,3421130898,Lutsk
98,006280773,Inna,Moroz,Oleksandrivna,2004-06-02,ukrainian,1643,2023-10-02,2025-09-11,4036633822,Vinnytsia
99,005292322,Dmytro,Lysenko,Olehovych,2006-04-07,ukrainian,293,2023-07-09,2027-07-14,3053864962,Lisichansk
100,006957672,Vira,Melnichenko,Anatoliyovych,2000-06-24,italian,1655,2023-03-20,2027-01-13,3613908693,Kremenchuk
101,005224696,Ihor,Yakovenko,Yuriyovych,2000-02-23,ukrainian,309,2021-02-17,2025-04-29,4292912706,Kamenskoe
102,004637922,Liliia,Klymenko,Artemivna,2001-07-11,ukrainian,1241,2023-07-22,2025-03-03,4463367762,Kovel
103,006139813,Mykhailo,Tkachuk,Mykolaiovych,2006-06-12,ukrainian,1980,2023-01-14,2026-03-06,3094018431,Lutsk
104,003045387,Larysa,Pavlenko,Vadymivna,2002-01-02,ukrainian,1854,2021-07-13,2026-01-12,3814235748,Chernihiv
105,006425300,Nina,Boiko,Denysivna,2002-09-10,ukrainian,1455,2023-02-13,2025-09-26,3285923796,Chernivtsi
106,006078860,Yurii,Rudenko,Volodymyrovych,2005-09-16,ukrainian,163,2022-08-02,2025-08-04,3124252931,Dnipro
107,003237838,Serhii,Shevchenko,Olehovych,2004-10-24,ukrainian,1281,2021-04-03,2026-01-05,3606683539,Myrnohrad
108,004147499,Yulia,Shevchuk,Ostapivna,1998-03-21,ukrainian,1515,2023-07-11,2025-01-18,3607480665,Yalta
109,006084822,Fedir,Pavlenko,Yuriyovych,2007-10-06,ukrainian,514,2021-06-14,2025-12-27,3054705677,Luhansk
110,005476421,Yaroslav,Dmytruk,Artemovych,1999-05-14,ukrainian,1551,2023-10-24,2025-05-20,4436670849,Kamianets-Podilskyi
111,003016160,Olha,Moroz,Vadymivna,2004-09-29,ukrainian,608,2021-04-23,2025-11-12,4349110460,Sevastopol
112,006529968,Yaroslav,Kucher,Oleksandrovych,2001-06-12,ukrainian,51,2021-09-10,2026-02-07,4627602066,Luhansk
113,005454781,Volodymyr,Babenko,Mykolaiovych,2005-08-24,ukrainian,1842,2023-09-04,2027-02-15,4188770004,Kryvyi Rih
114,006167731,Anastasiia,Tkachenko,Oksanivna,2003-07-11,ukrainian,1004,2021-04-26,2027-08-31,4359732250,Makiivka
115,004100187,Fedir,Tkachenko,Ivanovych,1998-01-29,ukrainian,538,2023-12-16,2026-02-22,3391151784,Bila Tserkva
116,004828250,Liudmyla,Melnichenko,Oksanivna,2006-01-23,ukrainian,843,2021-07-30,2027-09-27,4030381013,Kharkiv
117,004643505,Anastasiia,Shevchuk,Ostapivna,2006-11-09,ukrainian,1354,2021-02-23,2026-11-30,3312994227,Kamianets-Podilskyi
118,006812533,Liliia,Andriychuk,Pavlivna,2006-09-10,ukrainian,1679,2022-09-04,2026-11-11,4579895479,Cherkasy
119,006423286,Oksana,Dmytruk,Mykolaivna,2002-01-06,ukrainian,422,2021-11-08,2025-08-15,4172678788,Berdiansk
120,004601518,Nadia,Tkachenko,Oksanivna,2001-07-03,ukrainian,1591,2023-12-05,2025-06-07,4980692385,Simferopol
121,006066021,Oleh,Tkachenko,Yuriyovych,1998-05-23,ukrainian,915,2021-01-10,2026-05-05,3793280676,Ivano-Frankove
122,004867830,Ludmyla,Babenko,Ostapivna,2003-02-15,ukrainian,156,2022-07-28,2025-01-03,4536621930,Kremenchuk
123,005665738,Anna,Kozak,Denysivna,2002-04-20,ukrainian,1540,2023-08-02,2026-11-30,3360347977,Rivne
124,004682856,Iryna,Yermolenko,Vadymivna,1999-09-07,ukrainian,58,2021-05-24,2025-06-26,4431399697,Mariupol
125,005658106,Liliia,Yakovenko,Ivanivna,2005-09-09,ukrainian,1446,2022-12-09,2027-11-09,3520155300,Brovary
126,006698368,Inna,Boiko,Artemivna,2002-01-18,ukrainian,27,2022-03-07,2026-02-21,3631854850,Cherkasy
127,006036611,Hryhoriy,Marchenko,Artemovych,2002-04-12,ukrainian,1669,2023-11-02,2026-09-16,3725780742,Berdiansk
128,006773082,Andrii,Lysenko,Oleksiyovych,2006-10-24,ukrainian,1603,2021-07-10,2027-04-10,4032287949,Zaporizhzhia
129,004885505,Viktor,Lysenko,Ivanovych,2007-04-29,ukrainian,1779,2021-09-16,2026-05-05,4865202439,Nizhyn
130,006218128,Oksana,Andriychuk,Volodymyrivna,2005-11-21,ukrainian,1616,2023-09-12,2027-09-20,3333754324,Lviv
131,006792860,Kyrylo,Yermak,Vitaliyovych,1999-10-21,ukrainian,1675,2022-05-22,2025-03-29,4704079438,Khust
132,003480552,Hryhoriy,Kozak,Pavlovych,2000-12-16,ukrainian,305,2022-03-30,2025-09-23,4103308403,Myrnohrad
133,004448709,Yurii,Bondarenko,Ostapovych,2004-03-24,ukrainian,1197,2022-02-12,2025-07-14,3797641956,Myrnohrad
134,005223277,Orest,Bozhko,Petrovych,2000-03-16,ukrainian,1289,2022-02-05,2026-04-29,3378331845,Berdiansk
135,004661976,Orest,Rudenko,Yuriyovych,2001-12-14,ukrainian,438,2023-06-12,2025-03-05,4549555613,Makiivka
136,006051247,Viktor,Shulga,Oleksiyovych,2006-11-08,ukrainian,630,2022-04-20,2025-05-14,3565333199,Mariupol
137,005562620,Yelyzaveta,Rudenko,Pavlivna,2002-03-04,ukrainian,1443,2021-02-20,2026-10-16,3641961905,Kherson
138,004332215,Zoriana,Shevchuk,Dmytrivna,2004-10-23,ukrainian,1095,2021-07-12,2027-05-16,3471763578,Kropyvnytskyi
139,006775042,Tetiana,Kravchenko,Ivanivna,1999-03-07,ukrainian,649,2023-02-10,2025-12-22,3430114208,Lviv
140,003617699,Ruslan,Polishchuk,Mykolaiovych,2002-05-18,ukrainian,236,2021-03-09,2026-07-31,4145131381,Lisichansk
141,004678218,Andrii,Marchenko,Mykolaiovych,2004-05-01,ukrainian,872,2021-03-02,2027-07-23,4994293099,Luhansk
142,006035542,Andrii,Kozak,Olehovych,2000-01-14,ukrainian,1267,2021-05-04,2026-04-27,4628398327,Kamenskoe
143,004220919,Ruslan,Andriychuk,Vadymovych,2004-05-11,ukrainian,1149,2023-12-31,2025-03-27,4305257035,Kropyvnytskyi
144,004575148,Ludmyla,Kucher,Ostapivna,2002-11-27,ukrainian,1322,2023-01-11,2025-07-20,3508346674,Nizhyn
145,003921528,Dmytro,Kozak,Yuriyovych,2002-08-14,ukrainian,1037,2021-01-24,2027-04-28,3329510533,Alchevsk
146,004764771,Anna,Kovalchuk,Artemivna,2004-06-27,ukrainian,6,2021-06-25,2027-08-20,3719752521,Myrnohrad
147,003738518,Hryhoriy,Tkachenko,Mykolaiovych,2007-01-13,ukrainian,461,2023-12-26,2026-02-21,4915598100,Kyiv
148,006673504,Taras,Kovalenko,Ostapovych,2002-04-17,ukrainian,1103,2022-04-29,2025-07-29,3301542675,Zhytomyr
149,004089459,Kyrylo,Mazur,Pavlovych,2007-05-30,ukrainian,1071,2021-01-01,2027-08-29,3178130521,Kremenchuk
150,004991803,Nadia,Yakovenko,Mykolaivna,2002-08-06,ukrainian,1239,2023-01-07,2027-11-15,3779655241,Myrnohrad
151,004357303,Yaroslav,Melnichenko,Pavlovych,2002-12-28,ukrainian,380,2021-10-19,2026-08-02,4803433688,Konotop
152,006464620,Nadia,Shevchenko,Pavlivna,2005-03-02,ukrainian,1467,2023-09-16,2025-02-01,3592800499,Donetsk
153,005860962,Yaroslav,Shevchuk,Tarasovych,2004-06-14,ukrainian,1570,2022-01-05,2025-12-20,3314627476,Stryi
154,005272043,Halyna,Boiko,Volodymyrivna,1998-05-25,ukrainian,138,2022-08-05,2025-02-21,3923200004,Lutsk
155,005971605,Roman,Shevchuk,Vadymovych,2005-03-11,ukrainian,527,2023-05-19,2026-12-19,4346035922,Simferopol
156,003245033,Ivan,Bondarenko,Yaroslavovych,2003-10-03,ukrainian,325,2021-05-27,2026-07-09,4426996479,Uzhhorod
157,005598186,Ruslan,Lysenko,Anatoliyovych,2005-06-30,ukrainian,517,2021-02-14,2025-04-11,3364757575,Ivano-Frankove
158,003657709,Bohdan,Kozak,Oleksandrovych,1999-06-18,ukrainian,1168,2022-07-17,2027-07-28,4093142608,Lisichansk
159,003941403,Mariia,Bondarenko,Serhiyivna,2006-06-03,ukrainian,502,2022-01-19,2026-03-03,4624599429,Stryi
160,003102603,Yurii,Yermolenko,Vitaliyovych,2004-01-14,ukrainian,93,2023-05-27,2027-05-22,4115054370,Kamenskoe
161,004764299,Orest,Kozak,Olehovych,1998-03-05,ukrainian,803,2023-06-30,2027-02-01,3151880999,Kherson
162,006482380,Yurii,Kozak,Ostapovych,2006-05-09,ukrainian,1051,2023-05-25,2025-02-05,3559121047,Konotop
163,005873653,Halyna,Boiko,Pavlivna,2007-12-13,ukrainian,1241,2022-09-27,2026-10-19,4877878647,Brovary
164,004428953,Petro,Boiko,Petrovych,2001-08-06,ukrainian,132,2023-07-03,2026-10-04,4765490090,Kuznetsovsk
165,004368965,Mykola,Romanenko,Yaroslavivna,2001-06-28,ukrainian,630,2021-07-17,2027-06-22,4043182252,Luhansk
166,003855701,Oleksandr,Kozak,Petrovych,1999-12-13,ukrainian,158,2023-06-02,2026-10-03,3801914570,Kropyvnytskyi
167,003032176,Yurii,Kovalenko,Bohdanovych,2003-04-02,ukrainian,722,2022-09-02,2025-08-14,3444205167,Kamenskoe
168,005138962,Dmytro,Klymenko,Serhiyovych,2001-01-28,ukrainian,1030,2021-02-07,2027-08-17,3133634288,Rivne
169,003509079,Fedir,Shevchuk,Serhiyovych,1999-05-19,ukrainian,510,2021-04-24,2027-01-10,3011813000,Lisichansk
170,006433665,Valentyna,Tkachuk,Oleksandrivna,2001-04-10,ukrainian,826,2021-09-09,2026-11-04,3626830924,Kharkiv
171,005419951,Liliia,Kravchenko,Artemivna,1998-05-04,ukrainian,662,2023-02-02,2027-05-24,4872995761,Ivano-Frankove
172,003975281,Viktor,Yermak,Andriyovych,2007-04-21,ukrainian,1014,2022-12-23,2025-11-22,4611893839,Odesa
173,004990620,Hryhoriy,Pavlenko,Andriyovych,2005-12-28,ukrainian,293,2022-02-02,2027-04-27,4899528103,Dnipro
174,003649749,Tania,Babenko,Oleksandrivna,2000-11-17,ukrainian,766,2021-03-06,2027-05-03,3378043867,Donetsk
175,005816970,Andriana,Mazur,Artemivna,2001-06-29,ukrainian,1273,2023-07-31,2025-02-23,4198681977,Khmelnytskyi
176,005377929,Svitlana,Shevchenko,Mykolaivna,1998-01-01,ukrainian,1215,2021-05-30,2025-01-14,4138217365,Kramatorsk
177,004489641,Nina,Klymenko,Oksanivna,2001-06-09,ukrainian,1805,2022-08-09,2027-03-04,4693002019,Chernivtsi
178,006151592,Anna,Romanenko,Artemivna,2004-12-23,ukrainian,1754,2023-08-29,2026-06-14,3596350527,Makiivka
179,006705501,Larysa,Babenko,Denysivna,2004-08-07,ukrainian,1868,2023-04-05,2027-05-05,4816108154,Lisichansk
180,004218304,Halyna,Mazur,Mykolaivna,2001-03-17,ukrainian,1733,2023-08-19,2027-01-23,4964280357,Khust
181,004122607,Iryna,Lysenko,Ivanivna,2004-10-27,ukrainian,1655,2022-03-14,2025-06-19,4440632925,Sevastopol
182,005205826,Tania,Melnichenko,Olehivna,2004-08-23,ukrainian,145,2023-03-22,2027-03-07,4109126157,Myrnohrad
183,003549164,Inna,Bondarenko,Serhiyivna,2005-06-05,ukrainian,482,2021-09-04,2025-04-04,3298784073,Lutsk
184,003960440,Ivan,Ivanchuk,Yuriyovych,2006-01-22,ukrainian,1285,2022-04-19,2025-01-17,3175638929,Kamianets-Podilskyi
185,005517607,Yurii,Lysenko,Bohdanovych,2002-01-23,ukrainian,1177,2021-07-26,2026-07-22,4689141756,Ternopil
186,005050649,Hryhoriy,Lysenko,Mykhailovych,2007-02-18,ukrainian,975,2022-11-13,2027-08-15,4547315317,Berdyansk
187,005753301,Tetiana,Holub,Yaroslavivna,2007-11-02,ukrainian,1327,2023-04-15,2027-09-27,3475913939,Brovary
188,006737898,Mariia,Polishchuk,Pavlivna,2002-10-11,ukrainian,86,2022-10-13,2026-11-01,3281877898,Kherson
189,005422294,Natalia,Dmytruk,Volodymyrivna,1998-07-27,ukrainian,335,2021-05-20,2027-01-22,4211048491,Lutsk
190,004976636,Oleh,Sydorenko,Andriyovych,2003-04-30,ukrainian,1645,2021-12-14,2026-03-27,3578622485,Evpatoria
191,005553677,Nina,Tkachenko,Serhiyivna,1999-12-02,ukrainian,1231,2023-05-19,2026-07-15,3349593362,Luhansk
192,003629563,Ruslan,Kucher,Viktorovych,2004-05-01,ukrainian,1561,2021-06-18,2027-02-02,3774199865,Brovary
193,005401053,Oleksandr,Yermolenko,Andriyovych,2003-03-28,ukrainian,1892,2021-07-26,2026-01-08,3895372984,Simferopol
194,005527806,Ihor,Tkachenko,Mykhailovych,2004-07-01,ukrainian,966,2023-04-04,2027-02-06,4073044235,Kherson
195,005419739,Nina,Boiko,Oksanivna,1999-08-10,ukrainian,370,2022-11-02,2026-05-20,3461915464,Mykolaiv
196,005284523,Tania,Moroz,Volodymyrivna,1999-04-15,ukrainian,1449,2023-07-05,2027-01-17,3840929624,Kropyvnytskyi
197,006370938,Ruslan,Shevchuk,Oleksiyovych,2004-05-13,ukrainian,1610,2021-02-19,2027-09-12,3376871330,Chernihiv
198,005670108,Valentyna,Ivanchuk,Oleksandrivna,2003-12-25,ukrainian,1391,2022-03-24,2025-08-09,4773746968,Kropyvnytskyi
199,003667130,Yaroslav,Vlasenko,Andriyovych,2001-01-09,ukrainian,19,2023-12-23,2027-04-29,4817740473,Kherson
200,006799489,Inna,Shevchenko,Yaroslavovych,1999-03-31,indian,1893,2023-10-07,2027-03-12,3698247175,Uzhhorod
201,006998757,Ostap,Shulga,Volodymyrovych,1999-08-06,ukrainian,123,2021-10-15,2026-11-13,4152964759,Kolomyia
202,004282531,Petro,Polishchuk,Anatoliyovych,2005-01-13,ukrainian,389,2021-03-22,2027-12-22,4750045124,Odesa
203,006504359,Oksana,Kucher,Artemivna,2007-12-16,ukrainian,816,2021-07-27,2027-07-08,3402913177,Sumy
204,006236692,Anna,Kozak,Mykolaivna,2006-09-03,ukrainian,873,2021-11-02,2026-02-28,4212300284,Melitopol
205,003695838,Ostap,Tkachuk,Bohdanovych,2004-12-15,ukrainian,1517,2022-12-13,2027-12-07,3713337016,Konotop
206,005978286,Natalia,Boiko,Artemivna,1998-01-13,ukrainian,211,2023-09-17,2026-02-02,3911500857,Myrnohrad
207,003262705,Viktor,Polishchuk,Oleksiyovych,1999-01-14,ukrainian,1673,2021-04-03,2027-01-09,4280669351,Bila Tserkva
